;Term;Occurrences;Stopword
montaigne;montaigne;12;
ondam;ondam;12;
oney;oney;12;
panetta;panetta;12;
pérenniser;pérenniser;12;
red;red;12;
réinvestissements;réinvestissements;12;
ressourcerie;ressourcerie;12;
restrictifs;restrictifs;12;
reynolds;reynolds;12;
rh;rh;12;
rodez;rodez;12;
rodolphe;rodolphe;12;
rosstat;rosstat;12;
roubaix;roubaix;12;
ryanair;ryanair;12;
shirt;shirt;12;
silva;silva;12;
smi;smi;12;
syndex;syndex;12;
taïwan;taïwan;12;
touati;touati;12;
valorisées;valorisées;12;
vietnam;vietnam;12;
warren;warren;12;
xvi;xvi;12;
zeitung;zeitung;12;
zélande;zélande;12;
abstentions;abstentions;11;
afd;afd;11;
afer;afer;11;
annick;annick;11;
ariel;ariel;11;
athènes;athènes;11;
aussicrise;aussicrise;11;
aussietats;aussietats;11;
aussizone;aussizone;11;
autoentrepreneurs;autoentrepreneurs;11;
béatrice;béatrice;11;
béchu;béchu;11;
bergé;bergé;11;
boulogne;boulogne;11;
caire;caire;11;
call;call;11;
capitalisations;capitalisations;11;
carmignac;carmignac;11;
carnot;carnot;11;
chaar;chaar;11;
champier;champier;11;
chéron;chéron;11;
ciblent;ciblent;11;
clara;clara;11;
clcv;clcv;11;
cohen;cohen;11;
colombie;colombie;11;
contreparties;contreparties;11;
credoc;credoc;11;
cumulées;cumulées;11;
dacia;dacia;11;
dassault;dassault;11;
décarbonée;décarbonée;11;
défiscalisées;défiscalisées;11;
désindustrialisation;désindustrialisation;11;
di;di;11;
domofrance;domofrance;11;
dorioz;dorioz;11;
ebitda;ebitda;11;
economist;economist;11;
eelv;eelv;11;
erwan;erwan;11;
etam;etam;11;
etant;etant;11;
exonérée;exonérée;11;
faure;faure;11;
fillon;fillon;11;
flow;flow;11;
forvia;forvia;11;
forward;forward;11;
fractionnés;fractionnés;11;
fragilisées;fragilisées;11;
fumio;fumio;11;
gault;gault;11;
gazprom;gazprom;11;
générées;générées;11;
giscard;giscard;11;
impactent;impactent;11;
indre;indre;11;
instagram;instagram;11;
intercités;intercités;11;
it;it;11;
kiliçdaroglu;kiliçdaroglu;11;
kishida;kishida;11;
kuroda;kuroda;11;
lavazza;lavazza;11;
lenzing;lenzing;11;
lucas;lucas;11;
luna;luna;11;
malakoff;malakoff;11;
massachusetts;massachusetts;11;
maurin;maurin;11;
mcdonald;mcdonald;11;
michelle;michelle;11;
michigan;michigan;11;
mkg;mkg;11;
mnl;mnl;11;
moneyvox;moneyvox;11;
montbéliard;montbéliard;11;
naouri;naouri;11;
narendra;narendra;11;
network;network;11;
noz;noz;11;
panzani;panzani;11;
pellets;pellets;11;
pelouzet;pelouzet;11;
pénibilité;pénibilité;11;
pepa;pepa;11;
per;per;11;
plassard;plassard;11;
pp;pp;11;
promotionnels;promotionnels;11;
purina;purina;11;
raffineurs;raffineurs;11;
renégocié;renégocié;11;
resserrements;resserrements;11;
retailleau;retailleau;11;
ronald;ronald;11;
rouen;rouen;11;
sabrina;sabrina;11;
sam;sam;11;
samy;samy;11;
sonia;sonia;11;
spf;spf;11;
stephen;stephen;11;
streaming;streaming;11;
superéthanol;superéthanol;11;
taylor;taylor;11;
timothy;timothy;11;
toul;toul;11;
valeo;valeo;11;
vanessa;vanessa;11;
végétalisation;végétalisation;11;
vijlder;vijlder;11;
vosges;vosges;11;
walsh;walsh;11;
willie;willie;11;
world;world;11;
yolanda;yolanda;11;
yougov;yougov;11;
youtube;youtube;11;
zan;zan;11;
zara;zara;11;
afghanistan;afghanistan;10;
aft;aft;10;
alixio;alixio;10;
aussipourquoi;aussipourquoi;10;
aussitaux;aussitaux;10;
axelle;axelle;10;
benassy;benassy;10;
bihan;bihan;10;
blois;blois;10;
bonial;bonial;10;
boomers;boomers;10;
brieuc;brieuc;10;
caen;caen;10;
caffet;caffet;10;
candriam;candriam;10;
capeb;capeb;10;
cartier;cartier;10;
cetelem;cetelem;10;
chris;chris;10;
citigroup;citigroup;10;
cme;cme;10;
cnr;cnr;10;
commercialise;commercialise;10;
croo;croo;10;
csp;csp;10;
cuba;cuba;10;
daco;daco;10;
daniela;daniela;10;
davina;davina;10;
décote;décote;10;
défiscalisés;défiscalisés;10;
del;del;10;
délocalisations;délocalisations;10;
denormandie;denormandie;10;
déo;déo;10;
dgfip;dgfip;10;
dioclétien;dioclétien;10;
dvd;dvd;10;
ebuyclub;ebuyclub;10;
élodie;élodie;10;
elvira;elvira;10;
equinix;equinix;10;
esg;esg;10;
essec;essec;10;
eurosystème;eurosystème;10;
ey;ey;10;
fdj;fdj;10;
federal;federal;10;
festivaliers;festivaliers;10;
fintech;fintech;10;
fleury;fleury;10;
focalisée;focalisée;10;
fortiori;fortiori;10;
francisco;francisco;10;
gafa;gafa;10;
garcia;garcia;10;
gennevilliers;gennevilliers;10;
glen;glen;10;
grant;grant;10;
habeck;habeck;10;
havelaar;havelaar;10;
hétérodoxe;hétérodoxe;10;
hiault;hiault;10;
ifw;ifw;10;
indexant;indexant;10;
injectées;injectées;10;
jimmy;jimmy;10;
jousseaume;jousseaume;10;
kacimi;kacimi;10;
kenningham;kenningham;10;
kevin;kevin;10;
kiri;kiri;10;
klein;klein;10;
legrand;legrand;10;
libellés;libellés;10;
linkedin;linkedin;10;
louise;louise;10;
manchin;manchin;10;
marcilly;marcilly;10;
médiathèque;médiathèque;10;
millau;millau;10;
mireille;mireille;10;
mohamed;mohamed;10;
montchalin;montchalin;10;
nessim;nessim;10;
nutri;nutri;10;
pêle;pêle;10;
perret;perret;10;
pinel;pinel;10;
polluantes;polluantes;10;
prévert;prévert;10;
psoe;psoe;10;
purchase;purchase;10;
quintile;quintile;10;
rd;rd;10;
recyclerie;recyclerie;10;
rio;rio;10;
roissy;roissy;10;
rollin;rollin;10;
rse;rse;10;
ruralité;ruralité;10;
semestriels;semestriels;10;
sine;sine;10;
smith;smith;10;
sony;sony;10;
soutenables;soutenables;10;
spd;spd;10;
stanley;stanley;10;
steven;steven;10;
studies;studies;10;
tiktok;tiktok;10;
torrollion;torrollion;10;
tourdjman;tourdjman;10;
tuc;tuc;10;
variants;variants;10;
verdun;verdun;10;
vi;vi;10;
vidal;vidal;10;
actées;actées;9;
aït;aït;9;
alexander;alexander;9;
alexia;alexia;9;
amiens;amiens;9;
amsterdam;amsterdam;9;
amundi;amundi;9;
analytics;analytics;9;
angeles;angeles;9;
annabelle;annabelle;9;
appliqueront;appliqueront;9;
applis;applis;9;
argedis;argedis;9;
asselin;asselin;9;
aulnay;aulnay;9;
aussiturquie;aussiturquie;9;
azotés;azotés;9;
balboni;balboni;9;
bâle;bâle;9;
barilla;barilla;9;
basile;basile;9;
berenberg;berenberg;9;
bourdil;bourdil;9;
brian;brian;9;
budapest;budapest;9;
calviño;calviño;9;
carcassonne;carcassonne;9;
cdd;cdd;9;
cepremap;cepremap;9;
cergy;cergy;9;
cholet;cholet;9;
citi;citi;9;
cnews;cnews;9;
collaboratif;collaboratif;9;
confédérale;confédérale;9;
cougard;cougard;9;
courson;courson;9;
cp;cp;9;
debar;debar;9;
discounteurs;discounteurs;9;
dr;dr;9;
dsf;dsf;9;
dublin;dublin;9;
dumont;dumont;9;
dupont;dupont;9;
duval;duval;9;
écoresponsable;écoresponsable;9;
équipementier;équipementier;9;
equity;equity;9;
estaing;estaing;9;
eure;eure;9;
european;european;9;
fabre;fabre;9;
faivre;faivre;9;
fitoussi;fitoussi;9;
floride;floride;9;
fnab;fnab;9;
ftse;ftse;9;
grosso;grosso;9;
guérin;guérin;9;
guyot;guyot;9;
haruhiko;haruhiko;9;
ifi;ifi;9;
igf;igf;9;
indonésie;indonésie;9;
jamie;jamie;9;
jennifer;jennifer;9;
jérémy;jérémy;9;
jinping;jinping;9;
jp;jp;9;
kammer;kammer;9;
kazakhstan;kazakhstan;9;
kenneth;kenneth;9;
keynésienne;keynésienne;9;
labeyrie;labeyrie;9;
légumineuses;légumineuses;9;
lydia;lydia;9;
macri;macri;9;
macronistes;macronistes;9;
manchester;manchester;9;
mathilde;mathilde;9;
mauricio;mauricio;9;
médico;médico;9;
mehdi;mehdi;9;
mnukraine;mnukraine;9;
monétaristes;monétaristes;9;
motors;motors;9;
mugabe;mugabe;9;
mutualiser;mutualiser;9;
nadège;nadège;9;
nahel;nahel;9;
nixon;nixon;9;
no;no;9;
nobile;nobile;9;
nomura;nomura;9;
nourat;nourat;9;
otan;otan;9;
pablo;pablo;9;
paks;paks;9;
perifem;perifem;9;
perrin;perrin;9;
pompidou;pompidou;9;
ppv;ppv;9;
précarisation;précarisation;9;
préconisations;préconisations;9;
protectionniste;protectionniste;9;
pwc;pwc;9;
ratings;ratings;9;
représentativité;représentativité;9;
republic;republic;9;
rey;rey;9;
robotisation;robotisation;9;
rueff;rueff;9;
sacha;sacha;9;
saisonnalité;saisonnalité;9;
sao;sao;9;
schäuble;schäuble;9;
scolarisés;scolarisés;9;
shop;shop;9;
sicav;sicav;9;
singapour;singapour;9;
smcp;smcp;9;
sodebo;sodebo;9;
stoxx;stoxx;9;
tax;tax;9;
tendancielle;tendancielle;9;
thérèse;thérèse;9;
tpi;tpi;9;
trésoreries;trésoreries;9;
tüik;tüik;9;
turgot;turgot;9;
uk;uk;9;
ultralibéral;ultralibéral;9;
unédic;unédic;9;
valette;valette;9;
vallois;vallois;9;
ve;ve;9;
vittori;vittori;9;
wagner;wagner;9;
ways;ways;9;
weber;weber;9;
zeitoun;zeitoun;9;
zouari;zouari;9;
accise;accise;8;
acter;acter;8;
aesh;aesh;8;
albis;albis;8;
alfred;alfred;8;
allouées;allouées;8;
alvarez;alvarez;8;
anjou;anjou;8;
ano;ano;8;
antony;antony;8;
ash;ash;8;
assagissement;assagissement;8;
atp;atp;8;
aujour;aujour;8;
aussiallemagne;aussiallemagne;8;
aussifrance;aussifrance;8;
bad;bad;8;
beaugas;beaugas;8;
bellanger;bellanger;8;
bernier;bernier;8;
billancourt;billancourt;8;
blesson;blesson;8;
bnpl;bnpl;8;
boosté;boosté;8;
bozio;bozio;8;
bqp;bqp;8;
bradés;bradés;8;
briand;briand;8;
brice;brice;8;
bullard;bullard;8;
burns;burns;8;
cagnottage;cagnottage;8;
canson;canson;8;
capgemini;capgemini;8;
ccep;ccep;8;
cdg;cdg;8;
chapuis;chapuis;8;
chartered;chartered;8;
chrysler;chrysler;8;
cice;cice;8;
cnm;cnm;8;
coquerel;coquerel;8;
cotentin;cotentin;8;
couet;couet;8;
cre;cre;8;
créteil;créteil;8;
cryptomonnaie;cryptomonnaie;8;
culpa;culpa;8;
cybersécurité;cybersécurité;8;
dales;dales;8;
damoclès;damoclès;8;
danemark;danemark;8;
deliveroo;deliveroo;8;
delors;delors;8;
détaillent;détaillent;8;
dijon;dijon;8;
dopées;dopées;8;
dpe;dpe;8;
drôme;drôme;8;
duty;duty;8;
dws;dws;8;
easyjet;easyjet;8;
ecomiam;ecomiam;8;
écono;écono;8;
elsa;elsa;8;
emrys;emrys;8;
envi;envi;8;
estanguet;estanguet;8;
fanta;fanta;8;
feef;feef;8;
fisher;fisher;8;
flation;flation;8;
foir;foir;8;
fontenay;fontenay;8;
fund;fund;8;
gaillac;gaillac;8;
gaston;gaston;8;
gautier;gautier;8;
geiger;geiger;8;
godeluck;godeluck;8;
grigny;grigny;8;
guadeloupe;guadeloupe;8;
gucci;gucci;8;
hamon;hamon;8;
happyvore;happyvore;8;
héloïse;héloïse;8;
homeexchange;homeexchange;8;
ia;ia;8;
iata;iata;8;
impactant;impactant;8;
indexations;indexations;8;
influenceurs;influenceurs;8;
interprofession;interprofession;8;
investors;investors;8;
ipca;ipca;8;
istat;istat;8;
jacky;jacky;8;
jeff;jeff;8;
jessica;jessica;8;
karim;karim;8;
kemal;kemal;8;
kippour;kippour;8;
kuhanathan;kuhanathan;8;
lacroix;lacroix;8;
lafayette;lafayette;8;
lary;lary;8;
lasalle;lasalle;8;
lecornu;lecornu;8;
leduc;leduc;8;
lefèvre;lefèvre;8;
leïla;leïla;8;
lisieux;lisieux;8;
loiret;loiret;8;
lustman;lustman;8;
macroniste;macroniste;8;
magali;magali;8;
maghreb;maghreb;8;
maillage;maillage;8;
malika;malika;8;
marcelo;marcelo;8;
marco;marco;8;
margaret;margaret;8;
martinique;martinique;8;
mcdo;mcdo;8;
mea;mea;8;
meaux;meaux;8;
meilleurtaux;meilleurtaux;8;
mélanie;mélanie;8;
meti;meti;8;
moec;moec;8;
mohammed;mohammed;8;
mondialisée;mondialisée;8;
monétarisme;monétarisme;8;
monétiser;monétiser;8;
monnet;monnet;8;
moreira;moreira;8;
moscovici;moscovici;8;
mpc;mpc;8;
mt;mt;8;
multilatérales;multilatérales;8;
mustafa;mustafa;8;
mutricy;mutricy;8;
mutualiste;mutualiste;8;
nabioullina;nabioullina;8;
nazaire;nazaire;8;
ndiaye;ndiaye;8;
nicola;nicola;8;
nuggets;nuggets;8;
ofgem;ofgem;8;
one;one;8;
ouigo;ouigo;8;
oxfam;oxfam;8;
pannier;pannier;8;
panquiault;panquiault;8;
pantheon;pantheon;8;
pcb;pcb;8;
pénalisant;pénalisant;8;
pénalisante;pénalisante;8;
percevront;percevront;8;
pereira;pereira;8;
péremption;péremption;8;
personnalisés;personnalisés;8;
pimkie;pimkie;8;
plébiscitent;plébiscitent;8;
plui;plui;8;
poilâne;poilâne;8;
pontoise;pontoise;8;
positionnant;positionnant;8;
princeton;princeton;8;
prioritairement;prioritairement;8;
privat;privat;8;
prudentiel;prudentiel;8;
psa;psa;8;
py;py;8;
rachel;rachel;8;
raingeard;raingeard;8;
rationnements;rationnements;8;
ray;ray;8;
rcn;rcn;8;
relocaliser;relocaliser;8;
répercutera;répercutera;8;
replay;replay;8;
riksbank;riksbank;8;
runacher;runacher;8;
sabine;sabine;8;
sánchez;sánchez;8;
savary;savary;8;
saxe;saxe;8;
scrutées;scrutées;8;
seloger;seloger;8;
shanghaï;shanghaï;8;
sms;sms;8;
socioprofessionnelles;socioprofessionnelles;8;
solveig;solveig;8;
sondées;sondées;8;
starbucks;starbucks;8;
steve;steve;8;
stockholm;stockholm;8;
supeco;supeco;8;
surépargne;surépargne;8;
target;target;8;
task;task;8;
télécom;télécom;8;
thibault;thibault;8;
thompson;thompson;8;
ticpe;ticpe;8;
tikehau;tikehau;8;
traders;traders;8;
travel;travel;8;
university;university;8;
urss;urss;8;
ush;ush;8;
vaucluse;vaucluse;8;
viard;viard;8;
vingts;vingts;8;
whatsapp;whatsapp;8;
wolfgang;wolfgang;8;
wright;wright;8;
xiii;xiii;8;
xxl;xxl;8;
you;you;8;
yvon;yvon;8;
aaa;aaa;7;
abdel;abdel;7;
accenture;accenture;7;
accor;accor;7;
adsl;adsl;7;
aéroportuaire;aéroportuaire;7;
agritel;agritel;7;
algérie;algérie;7;
alterfood;alterfood;7;
amlo;amlo;7;
angèle;angèle;7;
antilles;antilles;7;
antivols;antivols;7;
aprr;aprr;7;
arcelormittal;arcelormittal;7;
arnault;arnault;7;
audois;audois;7;
aussibanque;aussibanque;7;
aussiface;aussiface;7;
auteuil;auteuil;7;
automaticité;automaticité;7;
bagneux;bagneux;7;
bell;bell;7;
bellile;bellile;7;
bénéficieraient;bénéficieraient;7;
bernanke;bernanke;7;
bluebay;bluebay;7;
boata;boata;7;
boissieu;boissieu;7;
bouny;bouny;7;
bp;bp;7;
broadbent;broadbent;7;
brochard;brochard;7;
brown;brown;7;
bulgnéville;bulgnéville;7;
caba;caba;7;
cabau;cabau;7;
cadastrales;cadastrales;7;
camburet;camburet;7;
cau;cau;7;
chain;chain;7;
chartres;chartres;7;
chélini;chélini;7;
cherpas;cherpas;7;
chevallier;chevallier;7;
cimalpes;cimalpes;7;
claudia;claudia;7;
cnuced;cnuced;7;
colgate;colgate;7;
collart;collart;7;
commercialisés;commercialisés;7;
company;company;7;
connait;connait;7;
consulting;consulting;7;
contributeurs;contributeurs;7;
corrélé;corrélé;7;
corum;corum;7;
coûtants;coûtants;7;
crt;crt;7;
danièle;danièle;7;
darren;darren;7;
das;das;7;
delahaye;delahaye;7;
déloyales;déloyales;7;
déréférencement;déréférencement;7;
disneyland;disneyland;7;
diw;diw;7;
drees;drees;7;
edmond;edmond;7;
egalement;egalement;7;
électoraliste;électoraliste;7;
emilie;emilie;7;
enrique;enrique;7;
eurosceptique;eurosceptique;7;
evergrande;evergrande;7;
exportatrices;exportatrices;7;
exportent;exportent;7;
extremis;extremis;7;
fargo;fargo;7;
farlotti;farlotti;7;
fdsea;fdsea;7;
ferracci;ferracci;7;
financiarisation;financiarisation;7;
fiscalisés;fiscalisés;7;
floa;floa;7;
fnhpa;fnhpa;7;
fnmf;fnmf;7;
focus;focus;7;
forint;forint;7;
friperies;friperies;7;
gafam;gafam;7;
gambetta;gambetta;7;
gelencser;gelencser;7;
généralisés;généralisés;7;
geneviève;geneviève;7;
ghana;ghana;7;
gifi;gifi;7;
gmf;gmf;7;
goetz;goetz;7;
gonzales;gonzales;7;
goodhart;goodhart;7;
gosselin;gosselin;7;
grady;grady;7;
great;great;7;
gremillet;gremillet;7;
hambourg;hambourg;7;
hamilton;hamilton;7;
handelsblatt;handelsblatt;7;
harmonisée;harmonisée;7;
hautefort;hautefort;7;
hec;hec;7;
hippolyte;hippolyte;7;
hoc;hoc;7;
holzmann;holzmann;7;
hong;hong;7;
hve;hve;7;
ice;ice;7;
iliad;iliad;7;
indec;indec;7;
interbancaires;interbancaires;7;
intermédiation;intermédiation;7;
irving;irving;7;
islamabad;islamabad;7;
ivry;ivry;7;
joubert;joubert;7;
justin;justin;7;
katia;katia;7;
kazuo;kazuo;7;
kelly;kelly;7;
kenya;kenya;7;
kong;kong;7;
kozul;kozul;7;
krakovitch;krakovitch;7;
lacombe;lacombe;7;
landeroin;landeroin;7;
last;last;7;
lawrence;lawrence;7;
lescure;lescure;7;
lons;lons;7;
lotois;lotois;7;
lydie;lydie;7;
maël;maël;7;
majorations;majorations;7;
majoré;majoré;7;
maprimerénov;maprimerénov;7;
marionnaud;marionnaud;7;
marjorie;marjorie;7;
marty;marty;7;
mathias;mathias;7;
maud;maud;7;
mayotte;mayotte;7;
mazier;mazier;7;
meuse;meuse;7;
michon;michon;7;
minelli;minelli;7;
mnguerre;mnguerre;7;
mobilians;mobilians;7;
mondialisées;mondialisées;7;
monetary;monetary;7;
morel;morel;7;
mutualisation;mutualisation;7;
mw;mw;7;
neuilly;neuilly;7;
nhs;nhs;7;
ninon;ninon;7;
nogent;nogent;7;
oanda;oanda;7;
obsoco;obsoco;7;
parthenon;parthenon;7;
pea;pea;7;
pel;pel;7;
pélissier;pélissier;7;
pelloli;pelloli;7;
pepsi;pepsi;7;
phytosanitaires;phytosanitaires;7;
playstation;playstation;7;
plébiscitée;plébiscitée;7;
pluriannuelle;pluriannuelle;7;
pluriannuels;pluriannuels;7;
positionnées;positionnées;7;
postpandémie;postpandémie;7;
presqu;presqu;7;
prévost;prévost;7;
privilégiez;privilégiez;7;
prohibitifs;prohibitifs;7;
protected;protected;7;
psg;psg;7;
qubic;qubic;7;
rauline;rauline;7;
réindexation;réindexation;7;
reversés;reversés;7;
rib;rib;7;
rième;rième;7;
rioux;rioux;7;
rolf;rolf;7;
rolling;rolling;7;
romanet;romanet;7;
romeu;romeu;7;
rothschild;rothschild;7;
salomon;salomon;7;
salvador;salvador;7;
samsung;samsung;7;
sarthois;sarthois;7;
selin;selin;7;
shaktikanta;shaktikanta;7;
sharif;sharif;7;
sharon;sharon;7;
shrink;shrink;7;
slovénie;slovénie;7;
smpga;smpga;7;
soudan;soudan;7;
souillot;souillot;7;
spac;spac;7;
startups;startups;7;
stuffing;stuffing;7;
supérettes;supérettes;7;
supply;supply;7;
syrie;syrie;7;
taclé;taclé;7;
tavares;tavares;7;
tea;tea;7;
télétravailler;télétravailler;7;
tendanciellement;tendanciellement;7;
tesco;tesco;7;
thibaud;thibaud;7;
timothée;timothée;7;
ttf;ttf;7;
ueda;ueda;7;
umut;umut;7;
valéry;valéry;7;
végane;végane;7;
veyrier;veyrier;7;
vientiane;vientiane;7;
volker;volker;7;
voyagistes;voyagistes;7;
vuitton;vuitton;7;
wauquiez;wauquiez;7;
weekendesk;weekendesk;7;
wells;wells;7;
wolf;wolf;7;
wood;wood;7;
wunsch;wunsch;7;
www;www;7;
zhang;zhang;7;
zhiwei;zhiwei;7;
abad;abad;6;
abis;abis;6;
abritel;abritel;6;
acpr;acpr;6;
addactis;addactis;6;
adoue;adoue;6;
advisory;advisory;6;
aghion;aghion;6;
ahmed;ahmed;6;
alex;alex;6;
alexeï;alexeï;6;
alfortville;alfortville;6;
allgemeine;allgemeine;6;
altice;altice;6;
altiservice;altiservice;6;
amghar;amghar;6;
amora;amora;6;
annecy;annecy;6;
annus;annus;6;
apec;apec;6;
arbitrable;arbitrable;6;
argenteuil;argenteuil;6;
arkema;arkema;6;
armin;armin;6;
arte;arte;6;
audincourt;audincourt;6;
auray;auray;6;
aurel;aurel;6;
aussiau;aussiau;6;
aussibudget;aussibudget;6;
aussifed;aussifed;6;
autoconsommation;autoconsommation;6;
autoentrepreneur;autoentrepreneur;6;
autoréalisatrices;autoréalisatrices;6;
aveyronnaise;aveyronnaise;6;
avionneur;avionneur;6;
aymeric;aymeric;6;
ayrault;ayrault;6;
bali;bali;6;
bangkok;bangkok;6;
barbie;barbie;6;
barcelone;barcelone;6;
batignolles;batignolles;6;
bauer;bauer;6;
baule;baule;6;
bellon;bellon;6;
belmiro;belmiro;6;
bénassy;bénassy;6;
berd;berd;6;
berthelot;berthelot;6;
bertin;bertin;6;
bezos;bezos;6;
bgc;bgc;6;
biélorussie;biélorussie;6;
biotech;biotech;6;
biotechs;biotechs;6;
blockchain;blockchain;6;
blouin;blouin;6;
bmw;bmw;6;
bodin;bodin;6;
boh;boh;6;
boisset;boisset;6;
bonnasse;bonnasse;6;
boostée;boostée;6;
borrell;borrell;6;
bouchaud;bouchaud;6;
bowman;bowman;6;
bretton;bretton;6;
brodart;brodart;6;
burn;burn;6;
busson;busson;6;
bva;bva;6;
cadurcien;cadurcien;6;
caillet;caillet;6;
cantin;cantin;6;
cardif;cardif;6;
carenco;carenco;6;
carias;carias;6;
carine;carine;6;
caron;caron;6;
carstens;carstens;6;
cazeneuve;cazeneuve;6;
ceoe;ceoe;6;
cesu;cesu;6;
chaines;chaines;6;
chanel;chanel;6;
charal;charal;6;
chauvel;chauvel;6;
citroën;citroën;6;
clairefontaine;clairefontaine;6;
clayes;clayes;6;
cmo;cmo;6;
complexifie;complexifie;6;
conditionnalité;conditionnalité;6;
contraignants;contraignants;6;
cordier;cordier;6;
corrélée;corrélée;6;
costa;costa;6;
coty;coty;6;
crnkovic;crnkovic;6;
ct;ct;6;
cua;cua;6;
cyber;cyber;6;
daily;daily;6;
dayot;dayot;6;
delatte;delatte;6;
delvau;delvau;6;
démarques;démarques;6;
demoures;demoures;6;
désemplissent;désemplissent;6;
désinflationnistes;désinflationnistes;6;
desouches;desouches;6;
dimon;dimon;6;
dior;dior;6;
director;director;6;
dixmier;dixmier;6;
dmitri;dmitri;6;
dubois;dubois;6;
duclos;duclos;6;
dumas;dumas;6;
easy;easy;6;
edv;edv;6;
eglise;eglise;6;
eiffel;eiffel;6;
electric;electric;6;
électro;électro;6;
ellen;ellen;6;
email;email;6;
énergéticien;énergéticien;6;
england;england;6;
epr;epr;6;
erik;erik;6;
erwann;erwann;6;
esser;esser;6;
euroapi;euroapi;6;
eurogroupe;eurogroupe;6;
eurostar;eurostar;6;
evans;evans;6;
évelyne;évelyne;6;
exito;exito;6;
fanichet;fanichet;6;
farandou;farandou;6;
farooqi;farooqi;6;
favre;favre;6;
fbf;fbf;6;
fca;fca;6;
fédère;fédère;6;
fernand;fernand;6;
fertilisants;fertilisants;6;
fhp;fhp;6;
fidesz;fidesz;6;
fitzner;fitzner;6;
foix;foix;6;
formateurs;formateurs;6;
frankfurter;frankfurter;6;
friggit;friggit;6;
fsl;fsl;6;
ftx;ftx;6;
gallaine;gallaine;6;
gandhi;gandhi;6;
gasté;gasté;6;
gazoducs;gazoducs;6;
gediminas;gediminas;6;
geev;geev;6;
georg;georg;6;
gervais;gervais;6;
gestions;gestions;6;
gharbi;gharbi;6;
gheeraert;gheeraert;6;
ghr;ghr;6;
giles;giles;6;
gomes;gomes;6;
gualeguaychu;gualeguaychu;6;
guérande;guérande;6;
gueugneau;gueugneau;6;
happy;happy;6;
harker;harker;6;
haussmann;haussmann;6;
hcpf;hcpf;6;
hébergeurs;hébergeurs;6;
hénaff;hénaff;6;
hesse;hesse;6;
hugues;hugues;6;
husson;husson;6;
ian;ian;6;
ifm;ifm;6;
ifrap;ifrap;6;
igraal;igraal;6;
ilc;ilc;6;
inc;inc;6;
industry;industry;6;
inès;inès;6;
institutionnelles;institutionnelles;6;
interbancaire;interbancaire;6;
intercommunale;intercommunale;6;
ipek;ipek;6;
isaac;isaac;6;
islamo;islamo;6;
italia;italia;6;
jacent;jacent;6;
jacobs;jacobs;6;
janicaud;janicaud;6;
jedliczka;jedliczka;6;
jonas;jonas;6;
jordan;jordan;6;
jouéclub;jouéclub;6;
katz;katz;6;
kévin;kévin;6;
laforêt;laforêt;6;
landel;landel;6;
later;later;6;
laurin;laurin;6;
lbbw;lbbw;6;
least;least;6;
lemetais;lemetais;6;
lemoine;lemoine;6;
lepetit;lepetit;6;
lesieur;lesieur;6;
libye;libye;6;
lijuan;lijuan;6;
lilian;lilian;6;
lme;lme;6;
louwagie;louwagie;6;
lse;lse;6;
mahfouz;mahfouz;6;
maje;maje;6;
mankiw;mankiw;6;
mariana;mariana;6;
mariault;mariault;6;
mauroy;mauroy;6;
meals;meals;6;
mégawatt;mégawatt;6;
meilleursagents;meilleursagents;6;
mercato;mercato;6;
mervyn;mervyn;6;
mesnil;mesnil;6;
messi;messi;6;
métavers;métavers;6;
metro;metro;6;
meuros;meuros;6;
mickaël;mickaël;6;
midterms;midterms;6;
miguel;miguel;6;
milka;milka;6;
minorer;minorer;6;
mnhausse;mnhausse;6;
mnmalgré;mnmalgré;6;
mnpour;mnpour;6;
mnzone;mnzone;6;
modificative;modificative;6;
moez;moez;6;
monier;monier;6;
montefiore;montefiore;6;
mourad;mourad;6;
mournet;mournet;6;
multilatérale;multilatérale;6;
nathan;nathan;6;
nawaz;nawaz;6;
neil;neil;6;
nespresso;nespresso;6;
nitrites;nitrites;6;
now;now;6;
nutritionnelles;nutritionnelles;6;
occi;occi;6;
oetam;oetam;6;
ogm;ogm;6;
omt;omt;6;
oreo;oreo;6;
org;org;6;
orléans;orléans;6;
otto;otto;6;
ozkardeskaya;ozkardeskaya;6;
pac;pac;6;
palmolive;palmolive;6;
penchinat;penchinat;6;
personal;personal;6;
pfu;pfu;6;
philadelphie;philadelphie;6;
pimco;pimco;6;
players;players;6;
pleurtuit;pleurtuit;6;
podemos;podemos;6;
pöhl;pöhl;6;
positionnés;positionnés;6;
posteriori;posteriori;6;
preferred;preferred;6;
prégnant;prégnant;6;
primonial;primonial;6;
private;private;6;
pt;pt;6;
puget;puget;6;
qua;qua;6;
quiberon;quiberon;6;
quoiqu;quoiqu;6;
raymond;raymond;6;
rba;rba;6;
reconnait;reconnait;6;
réduflation;réduflation;6;
refashion;refashion;6;
refondation;refondation;6;
reims;reims;6;
renégocient;renégocient;6;
résilients;résilients;6;
retiers;retiers;6;
reuilly;reuilly;6;
revalorisant;revalorisant;6;
revolving;revolving;6;
rmt;rmt;6;
roosevelt;roosevelt;6;
rotterdam;rotterdam;6;
rubeela;rubeela;6;
ruffin;ruffin;6;
ryan;ryan;6;
saïd;saïd;6;
sainsbury;sainsbury;6;
salariées;salariées;6;
salmon;salmon;6;
salvetat;salvetat;6;
samu;samu;6;
savm;savm;6;
schumer;schumer;6;
